iter	Passed	Remaining
737	3858	1369
738	3860	1363
739	3867	1359
740	3869	1352
741	3872	1346
742	3874	1340
743	3878	1334
744	3881	1328
745	3888	1324
746	3893	1318
747	3897	1313
748	3900	1307
749	3903	1301
750	3913	1297
751	3915	1291
752	3917	1284
753	3918	1278
754	3920	1272
755	3927	1267
756	3928	1261
757	3930	1254
758	3932	1248
759	3933	1242
760	3937	1236
761	3940	1230
762	3942	1224
763	3945	1218
764	3947	1212
765	3954	1207
766	3955	1201
767	3957	1195
768	3960	1189
769	3962	1183
770	3966	1178
771	3969	1172
772	3971	1166
773	3973	1160
774	3975	1154
775	3982	1149
776	3984	1143
777	3986	1137
778	3987	1131
779	3989	1125
780	3998	1121
781	3999	1115
782	4001	1108
783	4004	1103
784	4008	1097
785	4010	1091
786	4011	1085
787	4013	1079
788	4015	1073
789	4018	1068
790	4025	1063
791	4058	1065
792	4090	1067
793	4093	1061
794	4115	1061
795	4133	1059
796	4137	1053
797	4140	1048
798	4148	1043
799	4152	1038
800	4154	1032
801	4157	1026
802	4160	1020
803	4165	1015
804	4166	1009
805	4177	1005
806	4180	999
807	4182	993
808	4185	988
809	4191	983
810	4194	977
811	4197	971
812	4200	966
813	4203	960
814	4205	954
815	4208	949
816	4211	943
817	4217	938
818	4220	932
819	4223	927
820	4225	921
821	4228	915
822	4238	911
823	4242	906
824	4244	900
825	4246	894
826	4248	888
827	4251	883
828	4254	877
829	4257	871
830	4266	867
831	4269	862
832	4274	856
833	4276	851
834	4288	847
835	4295	842
836	4299	837
837	4303	831
838	4312	827
839	4315	822
840	4319	816
841	4321	811
842	4326	805
843	4333	800
844	4336	795
845	4350	791
846	4354	786
847	4357	780
848	4362	775
849	4371	771
850	4374	766
851	4378	760
852	4383	755
853	4387	750
854	4391	744
855	4394	739
856	4398	733
857	4401	728
858	4402	722
859	4404	717
860	4405	711
861	4410	706
862	4415	700
863	4417	695
864	4419	689
865	4420	683
866	4427	679
867	4453	677
868	4460	672
869	4466	667
870	4470	662
871	4472	656
872	4474	650
873	4475	645
874	4487	641
875	4489	635
876	4491	629
877	4493	624
878	4499	619
879	4500	613
880	4502	608
881	4504	602
882	4506	597
883	4510	591
884	4511	586
885	4513	580
886	4514	575
887	4516	569
888	4518	564
889	4521	558
890	4526	553
891	4530	548
892	4531	542
893	4533	537
894	4536	532
895	4538	526
896	4540	521
897	4542	515
898	4543	510
899	4546	505
900	4548	499
901	4557	495
902	4559	489
903	4560	484
904	4562	478
905	4567	473
906	4569	468
907	4571	463
908	4574	457
909	4576	452
910	4578	447
911	4580	442
912	4582	436
913	4583	431
914	4586	426
915	4589	420
916	4591	415
917	4598	410
918	4601	405
919	4603	400
920	4606	395
921	4608	389
922	4610	384
923	4612	379
924	4614	374
925	4619	369
926	4622	364
927	4624	358
928	4627	353
929	4629	348
930	4638	343
931	4640	338
932	4641	333
933	4642	328
934	4645	322
935	4648	317
936	4650	312
937	4651	307
938	4653	302
939	4654	297
940	4656	291
941	4658	286
942	4665	282
943	4667	276
944	4668	271
945	4670	266
946	4672	261
947	4690	257
948	4695	252
949	4696	247
950	4699	242
951	4701	237
952	4702	231
953	4705	226
954	4707	221
955	4709	216
956	4710	211
957	4713	206
958	4714	201
959	4722	196
960	4725	191
961	4727	186
962	4730	181
963	4735	176
964	4737	171
965	4740	166
966	4742	161
967	4744	156
968	4749	151
969	4751	146
970	4753	141
971	4755	136
972	4757	132
973	4759	127
974	4763	122
975	4765	117
976	4767	112
977	4768	107
978	4771	102
979	4781	97
980	4783	92
981	4785	87
982	4787	82
983	4803	78
984	4815	73
985	4817	68
986	4819	63
987	4825	58
988	4827	53
989	4829	48
990	4832	43
991	4846	39
992	4850	34
993	4854	29
994	4856	24
995	4858	19
996	4859	14
997	4861	9
998	4862	4
999	4870	0
